Observer point at r[0]=1.262205e-01 AU
   time           vr          rho         temp           Bp          prs
1.834318e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.843739e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.853160e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.862580e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.872000e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.881417e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.890833e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.900249e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.909663e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.919079e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.928492e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.937904e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.947315e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.956724e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.966134e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.975544e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.984952e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.994358e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.003763e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.013168e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.022572e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.031977e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
