Observer point at r[822]=1.000358e+00 AU
   time           vr          rho         temp           Bp          prs
1.928010e-04 2.992899e+02 4.438711e+02 1.177751e+06 9.421619e+02 7.244256e+06
1.936984e-04 2.992850e+02 4.436177e+02 1.177415e+06 9.418925e+02 7.238054e+06
1.945959e-04 2.992801e+02 4.433645e+02 1.177079e+06 9.416231e+02 7.231857e+06
1.954931e-04 2.992751e+02 4.431113e+02 1.176743e+06 9.413537e+02 7.225664e+06
1.963900e-04 2.992702e+02 4.428583e+02 1.176407e+06 9.410845e+02 7.219476e+06
1.972868e-04 2.992653e+02 4.426055e+02 1.176071e+06 9.408153e+02 7.213294e+06
1.981835e-04 2.992603e+02 4.423527e+02 1.175735e+06 9.405461e+02 7.207115e+06
1.990802e-04 2.992553e+02 4.421000e+02 1.175399e+06 9.402769e+02 7.200940e+06
1.999768e-04 2.992504e+02 4.418474e+02 1.175063e+06 9.400077e+02 7.194769e+06
2.008733e-04 2.992453e+02 4.415949e+02 1.174727e+06 9.397386e+02 7.188603e+06
2.017696e-04 2.992403e+02 4.413425e+02 1.174391e+06 9.394695e+02 7.182441e+06
2.026657e-04 2.992353e+02 4.410902e+02 1.174056e+06 9.392005e+02 7.176285e+06
2.035617e-04 2.992303e+02 4.408381e+02 1.173720e+06 9.389315e+02 7.170132e+06
2.044576e-04 2.992252e+02 4.405861e+02 1.173385e+06 9.386626e+02 7.163984e+06
2.053536e-04 2.992201e+02 4.403341e+02 1.173049e+06 9.383936e+02 7.157839e+06
2.062494e-04 2.992150e+02 4.400822e+02 1.172713e+06 9.381246e+02 7.151698e+06
2.071450e-04 2.992099e+02 4.398305e+02 1.172378e+06 9.378558e+02 7.145563e+06
2.080404e-04 2.992048e+02 4.395789e+02 1.172043e+06 9.375869e+02 7.139432e+06
2.089357e-04 2.991997e+02 4.393274e+02 1.171707e+06 9.373181e+02 7.133306e+06
2.098309e-04 2.991945e+02 4.390759e+02 1.171372e+06 9.370494e+02 7.127183e+06
2.107262e-04 2.991893e+02 4.388246e+02 1.171037e+06 9.367806e+02 7.121064e+06
2.116214e-04 2.991842e+02 4.385733e+02 1.170701e+06 9.365118e+02 7.114949e+06
2.125163e-04 2.991790e+02 4.383222e+02 1.170366e+06 9.362431e+02 7.108839e+06
2.134111e-04 2.991738e+02 4.380712e+02 1.170031e+06 9.359745e+02 7.102734e+06
2.143057e-04 2.991685e+02 4.378204e+02 1.169696e+06 9.357059e+02 7.096634e+06
2.152003e-04 2.991633e+02 4.375696e+02 1.169361e+06 9.354373e+02 7.090537e+06
2.160948e-04 2.991580e+02 4.373188e+02 1.169026e+06 9.351687e+02 7.084444e+06
