   time      tracer1      tracer2
7.237265e-03 1.213749e+00 7.754136e-01
7.237880e-03 1.213749e+00 7.756495e-01
7.238496e-03 1.213749e+00 7.758855e-01
7.239111e-03 1.213749e+00 7.761216e-01
7.239726e-03 1.213749e+00 7.763577e-01
7.240342e-03 1.213749e+00 7.765939e-01
7.240958e-03 1.213749e+00 7.768302e-01
7.241574e-03 1.213749e+00 7.770666e-01
7.242190e-03 1.213749e+00 7.773031e-01
7.242807e-03 1.213749e+00 7.775396e-01
7.243424e-03 1.213749e+00 7.777762e-01
7.244040e-03 1.213749e+00 7.780129e-01
7.244657e-03 1.213749e+00 7.782497e-01
7.245275e-03 1.213749e+00 7.784866e-01
7.245892e-03 1.213749e+00 7.787235e-01
7.246509e-03 1.213749e+00 7.789605e-01
7.247127e-03 1.213749e+00 7.791976e-01
7.247745e-03 1.213749e+00 7.794348e-01
7.248363e-03 1.213749e+00 7.796720e-01
7.248982e-03 1.213749e+00 7.799093e-01
7.249600e-03 1.213749e+00 7.801467e-01
7.250219e-03 1.213749e+00 7.803842e-01
7.250838e-03 1.213749e+00 7.806218e-01
7.251457e-03 1.213749e+00 7.808594e-01
7.252076e-03 1.213749e+00 7.810971e-01
7.252695e-03 1.213749e+00 7.813349e-01
7.253315e-03 1.213749e+00 7.815728e-01
7.253935e-03 1.213749e+00 7.818108e-01
7.254555e-03 1.213749e+00 7.820488e-01
7.255175e-03 1.213749e+00 7.822869e-01
7.255795e-03 1.213749e+00 7.825251e-01
7.256416e-03 1.213749e+00 7.827634e-01
7.257036e-03 1.213749e+00 7.830017e-01
7.257657e-03 1.213749e+00 7.832402e-01
7.258278e-03 1.213749e+00 7.834787e-01
7.258900e-03 1.213749e+00 7.837173e-01
7.259521e-03 1.213749e+00 7.839559e-01
7.260143e-03 1.213749e+00 7.841947e-01
7.260765e-03 1.213749e+00 7.844335e-01
7.261387e-03 1.213749e+00 7.846724e-01
7.262009e-03 1.213749e+00 7.849114e-01
7.262631e-03 1.213749e+00 7.851504e-01
7.263254e-03 1.213749e+00 7.853896e-01
7.263877e-03 1.213749e+00 7.856288e-01
7.264500e-03 1.213749e+00 7.858681e-01
7.265123e-03 1.213749e+00 7.861075e-01
7.265746e-03 1.213749e+00 7.863470e-01
7.266370e-03 1.213749e+00 7.865865e-01
7.266993e-03 1.213749e+00 7.868261e-01
7.267617e-03 1.213749e+00 7.870658e-01
7.268241e-03 1.213749e+00 7.873056e-01
7.268866e-03 1.213749e+00 7.875455e-01
7.269490e-03 1.213749e+00 7.877854e-01
7.270115e-03 1.213749e+00 7.880254e-01
7.270740e-03 1.213749e+00 7.882655e-01
7.271365e-03 1.213749e+00 7.885057e-01
7.271990e-03 1.213749e+00 7.887459e-01
7.272615e-03 1.213749e+00 7.889863e-01
7.273241e-03 1.213749e+00 7.892267e-01
7.273867e-03 1.213749e+00 7.894672e-01
7.274493e-03 1.213749e+00 7.897078e-01
7.275119e-03 1.213749e+00 7.899484e-01
7.275745e-03 1.213749e+00 7.901892e-01
7.276372e-03 1.213749e+00 7.904300e-01
7.276999e-03 1.213749e+00 7.906709e-01
7.277625e-03 1.213749e+00 7.909119e-01
7.278253e-03 1.213749e+00 7.911529e-01
7.278880e-03 1.213749e+00 7.913940e-01
7.279507e-03 1.213749e+00 7.916353e-01
7.280135e-03 1.213749e+00 7.918766e-01
7.280763e-03 1.213749e+00 7.921179e-01
7.281391e-03 1.213749e+00 7.923594e-01
7.282019e-03 1.213749e+00 7.926009e-01
7.282648e-03 1.213749e+00 7.928426e-01
7.283276e-03 1.213749e+00 7.930842e-01
7.283905e-03 1.213749e+00 7.933260e-01
7.284534e-03 1.213749e+00 7.935679e-01
7.285163e-03 1.213749e+00 7.938098e-01
7.285793e-03 1.213749e+00 7.940518e-01
7.286422e-03 1.213749e+00 7.942939e-01
7.287052e-03 1.213749e+00 7.945361e-01
7.287682e-03 1.213749e+00 7.947784e-01
7.288312e-03 1.213749e+00 7.950207e-01
7.288942e-03 1.213749e+00 7.952631e-01
7.289573e-03 1.213749e+00 7.955056e-01
7.290203e-03 1.213749e+00 7.957482e-01
7.290834e-03 1.213749e+00 7.959909e-01
7.291465e-03 1.213749e+00 7.962336e-01
7.292097e-03 1.213749e+00 7.964764e-01
7.292728e-03 1.213749e+00 7.967193e-01
7.293360e-03 1.213749e+00 7.969623e-01
7.293992e-03 1.213749e+00 7.972054e-01
7.294624e-03 1.213749e+00 7.974485e-01
7.295256e-03 1.213749e+00 7.976918e-01
7.295888e-03 1.213749e+00 7.979351e-01
7.296521e-03 1.213749e+00 7.981785e-01
7.297154e-03 1.213749e+00 7.984219e-01
7.297787e-03 1.213749e+00 7.986655e-01
7.298420e-03 1.213749e+00 7.989091e-01
7.299053e-03 1.213749e+00 7.991528e-01
7.299687e-03 1.213749e+00 7.993966e-01
7.300320e-03 1.213749e+00 7.996405e-01
7.300954e-03 1.213749e+00 7.998844e-01
7.301588e-03 1.213749e+00 8.001284e-01
7.302223e-03 1.213749e+00 8.003725e-01
7.302857e-03 1.213749e+00 8.006167e-01
7.303492e-03 1.213749e+00 8.008610e-01
7.304127e-03 1.213749e+00 8.011054e-01
7.304762e-03 1.213749e+00 8.013498e-01
7.305397e-03 1.213749e+00 8.015943e-01
7.306033e-03 1.213749e+00 8.018389e-01
7.306668e-03 1.213749e+00 8.020836e-01
7.307304e-03 1.213749e+00 8.023283e-01
7.307940e-03 1.213749e+00 8.025732e-01
7.308576e-03 1.213749e+00 8.028181e-01
7.309213e-03 1.213749e+00 8.030631e-01
7.309849e-03 1.213749e+00 8.033081e-01
7.310486e-03 1.213749e+00 8.035533e-01
7.311123e-03 1.213749e+00 8.037985e-01
7.311760e-03 1.213749e+00 8.040439e-01
7.312397e-03 1.213749e+00 8.042893e-01
7.313035e-03 1.213749e+00 8.045347e-01
7.313673e-03 1.213749e+00 8.047803e-01
7.314310e-03 1.213749e+00 8.050259e-01
7.314949e-03 1.213749e+00 8.052716e-01
7.315587e-03 1.213749e+00 8.055174e-01
7.316225e-03 1.213749e+00 8.057633e-01
7.316864e-03 1.213749e+00 8.060093e-01
7.317503e-03 1.213749e+00 8.062553e-01
7.318142e-03 1.213749e+00 8.065014e-01
7.318781e-03 1.213749e+00 8.067476e-01
7.319420e-03 1.213749e+00 8.069939e-01
7.320060e-03 1.213749e+00 8.072403e-01
7.320700e-03 1.213749e+00 8.074867e-01
7.321340e-03 1.213749e+00 8.077332e-01
7.321980e-03 1.213749e+00 8.079798e-01
7.322620e-03 1.213749e+00 8.082265e-01
7.323261e-03 1.213749e+00 8.084733e-01
7.323902e-03 1.213749e+00 8.087201e-01
7.324542e-03 1.213749e+00 8.089670e-01
7.325184e-03 1.213749e+00 8.092140e-01
7.325825e-03 1.213749e+00 8.094611e-01
7.326466e-03 1.213749e+00 8.097082e-01
7.327108e-03 1.213749e+00 8.099555e-01
7.327750e-03 1.213749e+00 8.102028e-01
7.328392e-03 1.213749e+00 8.104502e-01
7.329034e-03 1.213749e+00 8.106977e-01
7.329676e-03 1.213749e+00 8.109452e-01
7.330319e-03 1.213749e+00 8.111928e-01
7.330962e-03 1.213749e+00 8.114405e-01
7.331605e-03 1.213749e+00 8.116883e-01
7.332248e-03 1.213749e+00 8.119362e-01
7.332891e-03 1.213749e+00 8.121841e-01
7.333535e-03 1.213749e+00 8.124322e-01
7.334178e-03 1.213749e+00 8.126803e-01
7.334822e-03 1.213749e+00 8.129284e-01
7.335466e-03 1.213749e+00 8.131767e-01
7.336111e-03 1.213749e+00 8.134250e-01
7.336755e-03 1.213749e+00 8.136734e-01
7.337400e-03 1.213749e+00 8.139219e-01
7.338044e-03 1.213749e+00 8.141705e-01
7.338689e-03 1.213749e+00 8.144192e-01
7.339334e-03 1.213749e+00 8.146679e-01
7.339980e-03 1.213749e+00 8.149167e-01
7.340625e-03 1.213749e+00 8.151656e-01
7.341271e-03 1.213749e+00 8.154145e-01
7.341917e-03 1.213749e+00 8.156636e-01
7.342563e-03 1.213749e+00 8.159127e-01
7.343209e-03 1.213749e+00 8.161618e-01
7.343856e-03 1.213749e+00 8.164111e-01
7.344502e-03 1.213749e+00 8.166605e-01
7.345149e-03 1.213749e+00 8.169099e-01
7.345796e-03 1.213749e+00 8.171594e-01
7.346443e-03 1.213749e+00 8.174089e-01
7.347090e-03 1.213749e+00 8.176586e-01
7.347738e-03 1.213749e+00 8.179083e-01
7.348386e-03 1.213749e+00 8.181581e-01
7.349033e-03 1.213749e+00 8.184080e-01
7.349681e-03 1.213749e+00 8.186579e-01
7.350330e-03 1.213749e+00 8.189079e-01
7.350978e-03 1.213749e+00 8.191580e-01
7.351626e-03 1.213749e+00 8.194082e-01
7.352275e-03 1.213749e+00 8.196585e-01
7.352924e-03 1.213749e+00 8.199088e-01
7.353573e-03 1.213749e+00 8.201592e-01
7.354222e-03 1.213749e+00 8.204096e-01
7.354872e-03 1.213749e+00 8.206602e-01
7.355521e-03 1.213749e+00 8.209108e-01
7.356171e-03 1.213749e+00 8.211615e-01
7.356821e-03 1.213749e+00 8.214123e-01
7.357471e-03 1.213749e+00 8.216631e-01
7.358121e-03 1.213749e+00 8.219140e-01
7.358772e-03 1.213749e+00 8.221650e-01
